Customer_ID,Customer_Name,Account_Type,Account_Balance,Last_Transaction_Date,Region,Loan_Amount,Loan_Status,Credit_Score,Age,Employment_Status,Annual_Income,Overdue_Payments,Savings_Account_Balance,Branch_ID,Branch_Name,Transaction_Count,Gender,Account_Open_Date,Customer_Risk_Level,Years_Since_Account_Open,Age_Group
CUST1000,Customer_0,Savings,37214.31,2023-01-01 00:00:00,East,20252.85,Rejected,663,19,Unemployed,132683.57,0,89644.79,BR100,Beta Bank,183,Female,2000-01-01,Medium,24,Young
CUST1001,Customer_1,Checking,56450.74,2023-01-01 00:00:00,East,26231.81,Pending,417,70,Employed,142257.42,5,147456.95,BR101,Alpha Bank,55,Female,2000-01-01,Low,24,Senior
CUST1002,Customer_2,Savings,46670.03,2023-01-01 00:00:00,South,40799.9,Rejected,445,31,Self-Employed,130513.39,2,112181.05,BR102,Alpha Bank,18,Female,2000-01-01,High,24,Young
CUST1003,Customer_3,Savings,45931.57,2023-01-01 00:00:00,South,21966.23,Rejected,606,64,Employed,129193.32,2,140638.14,BR103,Beta Bank,219,Female,2000-01-01,High,24,Senior
CUST1004,Customer_4,Credit,66865.07,2023-01-01 00:00:00,East,13847.04,Approved,460,66,Employed,138778.04,9,162971.53,BR104,Gamma Bank,135,Male,2000-01-01,Low,24,Senior
CUST1005,Customer_5,Credit,61846.29,2023-01-01 00:00:00,South,46462.07,Pending,588,63,Unemployed,26968.62,0,10985.25,BR105,Gamma Bank,330,Male,2000-01-01,Low,24,Senior
CUST1006,Customer_6,Credit,98161.46,2023-01-01 00:00:00,South,29083.95,Pending,572,38,Self-Employed,143306.18,6,72794.5,BR106,Gamma Bank,424,Male,2000-01-01,High,24,Middle-aged
CUST1008,Customer_8,Savings,86416.45,2023-01-01 00:00:00,East,17879.54,Approved,522,62,Self-Employed,86310.25,1,134897.26,BR108,Alpha Bank,37,Female,2000-01-01,High,24,Senior
CUST1009,Customer_9,Credit,52737.1,2023-01-01 00:00:00,East,13020.86,Pending,604,39,Employed,21363.6,6,190598.37,BR109,Gamma Bank,469,Male,2000-01-01,Medium,24,Middle-aged
CUST1010,Customer_10,Checking,88343.78,2023-01-01 00:01:00,North,27199.81,Rejected,472,19,Self-Employed,78008.19,5,92693.98,BR110,Gamma Bank,351,Female,2000-01-02,Low,24,Young
CUST1011,Customer_11,Credit,77159.09,2023-01-01 00:01:00,South,21999.27,Rejected,558,32,Unemployed,88978.12,6,91797.48,BR111,Alpha Bank,83,Male,2000-01-02,Medium,24,Young
CUST1012,Customer_12,Savings,5377.04,2023-01-01 00:01:00,South,7009.35,Pending,546,48,Employed,68047.36,4,86823.89,BR112,Gamma Bank,285,Male,2000-01-02,Low,24,Middle-aged
CUST1013,Customer_13,Credit,75741.25,2023-01-01 00:01:00,South,45887.42,Approved,628,74,Employed,97921.34,4,8347.91,BR113,Delta Bank,99,Female,2000-01-02,Medium,24,Senior
CUST1014,Customer_14,Credit,46553.8,2023-01-01 00:01:00,East,19658.93,Rejected,656,36,Employed,129941.34,1,121608.16,BR114,Gamma Bank,468,Female,2000-01-02,Medium,24,Middle-aged
CUST1015,Customer_15,Savings,64369.21,2023-01-01 00:01:00,South,34507.38,Rejected,522,78,Employed,142115.97,7,71292.55,BR115,Beta Bank,9,Female,2000-01-02,Low,24,Senior
CUST1017,Customer_17,Credit,41584.26,2023-01-01 00:01:00,South,21806.49,Approved,589,74,Self-Employed,29722.25,0,146645.43,BR117,Alpha Bank,243,Male,2000-01-02,High,24,Senior
CUST1019,Customer_19,Savings,39440.73,2023-01-01 00:01:00,East,4561.86,Rejected,449,30,Employed,20423.16,1,57708.54,BR119,Delta Bank,53,Female,2000-01-02,High,24,Young
CUST1020,Customer_20,Savings,38155.61,2023-01-01 00:02:00,East,49281.01,Pending,682,20,Self-Employed,30117.01,2,166967.51,BR120,Gamma Bank,295,Female,2000-01-03,High,24,Young
CUST1021,Customer_21,Savings,90462.67,2023-01-01 00:02:00,North,12730.36,Rejected,425,50,Unemployed,97132.94,6,16644.28,BR121,Beta Bank,337,Female,2000-01-03,Medium,24,Middle-aged
CUST1022,Customer_22,Savings,60732.99,2023-01-01 00:02:00,North,2915.39,Approved,513,57,Unemployed,139166.79,9,141750.41,BR122,Alpha Bank,52,Male,2000-01-03,Medium,24,Senior
CUST1023,Customer_23,Checking,94442.88,2023-01-01 00:02:00,East,18050.05,Pending,653,52,Unemployed,96862.14,2,39828.39,BR123,Beta Bank,186,Female,2000-01-03,Medium,24,Middle-aged
CUST1024,Customer_24,Checking,25300.13,2023-01-01 00:02:00,East,17457.35,Pending,594,72,Unemployed,43878.05,8,51887.84,BR124,Gamma Bank,93,Female,2000-01-03,Medium,24,Senior
CUST1025,Customer_25,Checking,40811.91,2023-01-01 00:02:00,West,10797.36,Rejected,431,54,Unemployed,136147.95,9,161457.97,BR125,Alpha Bank,23,Male,2000-01-03,Medium,24,Middle-aged
CUST1026,Customer_26,Credit,76226.25,2023-01-01 00:02:00,West,25831.25,Approved,756,75,Self-Employed,117973.7,3,118189.51,BR126,Alpha Bank,315,Female,2000-01-03,Medium,24,Senior
CUST1027,Customer_27,Credit,71386.0,2023-01-01 00:02:00,South,25073.4,Approved,810,37,Unemployed,30219.69,2,168178.05,BR127,Delta Bank,1,Female,2000-01-03,High,24,Middle-aged
CUST1028,Customer_28,Credit,45815.63,2023-01-01 00:02:00,South,18568.53,Rejected,402,19,Unemployed,129547.3,3,194306.82,BR128,Gamma Bank,261,Female,2000-01-03,Medium,24,Young
CUST1030,Customer_30,Credit,98650.46,2023-01-01 00:03:00,West,34150.14,Rejected,434,27,Self-Employed,135160.43,7,95473.58,BR130,Alpha Bank,222,Female,2000-01-04,Medium,24,Young
CUST1031,Customer_31,Checking,71232.05,2023-01-01 00:03:00,North,35895.44,Approved,773,42,Self-Employed,34929.12,9,189301.03,BR131,Beta Bank,61,Male,2000-01-04,High,24,Middle-aged
CUST1032,Customer_32,Checking,35152.8,2023-01-01 00:03:00,East,44787.6,Approved,403,45,Employed,84199.94,8,93314.25,BR132,Alpha Bank,306,Female,2000-01-04,Medium,24,Middle-aged
CUST1033,Customer_33,Savings,78147.26,2023-01-01 00:03:00,East,39954.58,Rejected,753,21,Self-Employed,142089.9,8,129433.28,BR133,Delta Bank,182,Male,2000-01-04,Low,24,Young
CUST1035,Customer_35,Credit,62191.26,2023-01-01 00:03:00,West,25582.2,Pending,686,54,Unemployed,47051.67,8,38927.57,BR135,Alpha Bank,231,Female,2000-01-04,High,24,Middle-aged
CUST1036,Customer_36,Checking,43308.0,2023-01-01 00:03:00,West,17558.54,Approved,561,75,Unemployed,139763.69,8,20419.96,BR136,Delta Bank,465,Male,2000-01-04,Low,24,Senior
CUST1038,Customer_38,Credit,16540.08,2023-01-01 00:03:00,North,9452.44,Pending,417,54,Unemployed,135434.09,6,170282.26,BR138,Alpha Bank,310,Male,2000-01-04,Low,24,Middle-aged
CUST1039,Customer_39,Savings,57855.72,2023-01-01 00:03:00,East,18182.04,Approved,838,78,Unemployed,124342.19,1,31822.83,BR139,Beta Bank,130,Female,2000-01-04,Medium,24,Senior
CUST1040,Customer_40,Checking,50313.71,2023-01-01 00:04:00,West,13112.99,Pending,509,69,Employed,125215.31,5,290.45,BR140,Beta Bank,13,Male,2000-01-05,Medium,24,Senior
CUST1041,Customer_41,Credit,34509.21,2023-01-01 00:04:00,East,45157.75,Pending,680,70,Self-Employed,72460.68,6,75495.16,BR141,Alpha Bank,40,Female,2000-01-05,Low,24,Senior
CUST1044,Customer_44,Credit,85802.19,2023-01-01 00:04:00,North,48904.78,Approved,470,67,Employed,147347.44,0,84396.12,BR144,Beta Bank,443,Female,2000-01-05,High,24,Senior
CUST1045,Customer_45,Checking,2943.39,2023-01-01 00:04:00,South,49729.96,Pending,765,34,Employed,56746.36,3,27710.57,BR145,Gamma Bank,132,Female,2000-01-05,High,24,Young
CUST1046,Customer_46,Checking,69008.98,2023-01-01 00:04:00,North,27413.84,Rejected,693,23,Employed,39796.47,0,60424.9,BR146,Delta Bank,486,Female,2000-01-05,Low,24,Young
CUST1047,Customer_47,Checking,95151.55,2023-01-01 00:04:00,North,38004.14,Pending,521,78,Employed,62793.32,3,92852.89,BR147,Gamma Bank,456,Male,2000-01-05,Medium,24,Senior
CUST1048,Customer_48,Checking,86808.45,2023-01-01 00:04:00,South,23955.8,Pending,473,48,Self-Employed,147093.34,9,7622.88,BR148,Alpha Bank,140,Female,2000-01-05,Low,24,Middle-aged
CUST1050,Customer_50,Credit,12341.17,2023-01-01 00:05:00,East,15047.28,Approved,717,41,Employed,74015.6,3,146710.22,BR150,Gamma Bank,331,Male,2000-01-06,Medium,24,Middle-aged
CUST1051,Customer_51,Savings,14171.77,2023-01-01 00:05:00,South,33764.1,Approved,617,72,Unemployed,68371.31,4,18452.74,BR151,Beta Bank,96,Male,2000-01-06,High,24,Senior
CUST1052,Customer_52,Savings,12265.03,2023-01-01 00:05:00,West,17826.35,Pending,662,74,Self-Employed,106350.74,6,7969.44,BR152,Alpha Bank,193,Female,2000-01-06,Low,24,Senior
